Date: 2018/03/22, Time: 14:47:41
RAW SENSOR UNITS FILE
________________________________
Time,GR31309,GR31310,X109928
1.5222872009652200e+09,3.80337600e+00,3.98997000e+00,3.18798700e+01
1.5222872198716149e+09,3.81088400e+00,3.99006500e+00,3.18743800e+01
1.5222872387651701e+09,3.80462500e+00,3.98957700e+00,3.18609600e+01
1.5222872576783509e+09,3.80354900e+00,3.98927900e+00,3.18507100e+01
1.5222872765926521e+09,3.80503000e+00,3.99304000e+00,3.18659000e+01
1.5222872955099881e+09,3.80379200e+00,3.98905400e+00,3.18558100e+01
1.5222873144179161e+09,3.80367800e+00,3.99233600e+00,3.18604000e+01
1.5222873333164611e+09,3.80494800e+00,3.99093900e+00,3.18816600e+01
1.5222873522270279e+09,3.80491000e+00,3.99322500e+00,3.18744600e+01
1.5222873711443951e+09,3.80264400e+00,3.99067700e+00,3.18894600e+01
1.5222873900597100e+09,3.80591200e+00,3.98948100e+00,3.18626100e+01
1.5222874089703431e+09,3.80592500e+00,3.99162700e+00,3.18645900e+01
1.5222874278836370e+09,3.80728500e+00,3.98965900e+00,3.18846300e+01
1.5222874467732251e+09,3.80445600e+00,3.99303700e+00,3.18684800e+01
1.5222874656861081e+09,3.80576600e+00,3.99287200e+00,3.18554500e+01
1.5222874845744500e+09,3.80261900e+00,3.98847500e+00,3.18514900e+01
1.5222875034936161e+09,3.80544200e+00,3.99174200e+00,3.18674900e+01
1.5222875224046190e+09,3.80891900e+00,3.99146700e+00,3.18992600e+01
1.5222875412974601e+09,3.80566900e+00,3.98971700e+00,3.18739600e+01
1.5222875602103851e+09,3.80694700e+00,3.98420400e+00,3.18794300e+01
1.5222875791261630e+09,3.80643800e+00,3.99005700e+00,3.18607200e+01
1.5222875980412140e+09,3.80289400e+00,3.99130100e+00,3.18563300e+01
1.5222876169518621e+09,3.80810100e+00,3.99031500e+00,3.18644600e+01
1.5222876358430319e+09,3.80635400e+00,3.99023100e+00,3.18841800e+01
1.5222876547567699e+09,3.80823200e+00,3.99266000e+00,3.18564600e+01
1.5222876736692050e+09,3.80813900e+00,3.99208500e+00,3.18771300e+01
1.5222876925588419e+09,3.80323600e+00,3.98671500e+00,3.18751000e+01
1.5222877114725721e+09,3.80724000e+00,3.99195700e+00,3.18670200e+01
1.5222877303881650e+09,3.80309700e+00,3.99245800e+00,3.18826400e+01
1.5222877493052070e+09,3.80751400e+00,3.99087400e+00,3.18715000e+01
1.5222877682206249e+09,3.80685300e+00,3.99075100e+00,3.18854100e+01
1.5222877871404741e+09,3.80788800e+00,3.99073000e+00,3.18542900e+01
1.5222878060532260e+09,3.80679100e+00,3.98936700e+00,3.18719100e+01
1.5222878249641931e+09,3.80571700e+00,3.99189000e+00,3.18699400e+01
1.5222878438759890e+09,3.80276300e+00,3.99274200e+00,3.18617200e+01
1.5222878627684131e+09,3.80557100e+00,3.99013800e+00,3.18757400e+01
1.5222878816838360e+09,3.80879200e+00,3.98896200e+00,3.18836300e+01
1.5222879005980680e+09,3.80750900e+00,3.99024100e+00,3.18669500e+01
1.5222879195106361e+09,3.81289100e+00,3.99267400e+00,3.18755500e+01
1.5222879383984029e+09,3.80692800e+00,3.99000100e+00,3.18690100e+01
