# 4K Stage
# UCSD DR Cooldown data 
# Time	Temperature 
# (s)	(K)
1.523597821000000000e+09 1.569000000000000057e+02
1.523597882000000000e+09 1.566800000000000068e+02
1.523597942000000000e+09 1.562309999999999945e+02
1.523598002000000000e+09 1.560099999999999909e+02
1.523598062000000000e+09 1.555610000000000070e+02
1.523598122000000000e+09 1.553400000000000034e+02
1.523598182000000000e+09 1.548919999999999959e+02
1.523598243000000000e+09 1.546790000000000020e+02
1.523598303000000000e+09 1.544579999999999984e+02
1.523598363000000000e+09 1.540219999999999914e+02
1.523598423000000000e+09 1.538029999999999973e+02
1.523598484000000000e+09 1.533679999999999950e+02
1.523598544000000000e+09 1.531519999999999868e+02
1.523598604000000000e+09 1.527150000000000034e+02
1.523598664000000000e+09 1.524989999999999952e+02
1.523598724000000000e+09 1.522820000000000107e+02
1.523598784000000000e+09 1.518410000000000082e+02
1.523598844000000000e+09 1.516229999999999905e+02
1.523598904000000000e+09 1.511899999999999977e+02
1.523598965000000000e+09 1.509710000000000036e+02
1.523599025000000000e+09 1.505329999999999870e+02
1.523599085000000000e+09 1.503170000000000073e+02
1.523599145000000000e+09 1.498799999999999955e+02
1.523599205000000000e+09 1.496719999999999970e+02
1.523599265000000000e+09 1.494600000000000080e+02
1.523599325000000000e+09 1.490360000000000014e+02
1.523599386000000000e+09 1.488240000000000123e+02
1.523599446000000000e+09 1.484000000000000057e+02
1.523599506000000000e+09 1.481810000000000116e+02
1.523599566000000000e+09 1.477560000000000002e+02
1.523599626000000000e+09 1.475469999999999970e+02
1.523599687000000000e+09 1.473369999999999891e+02
1.523599747000000000e+09 1.469099999999999966e+02
1.523599807000000000e+09 1.466990000000000123e+02
1.523599867000000000e+09 1.462740000000000009e+02
1.523599927000000000e+09 1.460610000000000070e+02
1.523599987000000000e+09 1.456330000000000098e+02
1.523600047000000000e+09 1.454180000000000064e+02
1.523600108000000000e+09 1.452139999999999986e+02
1.523600168000000000e+09 1.448009999999999877e+02
1.523600228000000000e+09 1.445869999999999891e+02
1.523600288000000000e+09 1.441719999999999970e+02
1.523600348000000000e+09 1.439610000000000127e+02
1.523600408000000000e+09 1.435459999999999923e+02
1.523600469000000000e+09 1.433379999999999939e+02
1.523600529000000000e+09 1.431270000000000095e+02
1.523600589000000000e+09 1.427160000000000082e+02
1.523600649000000000e+09 1.425010000000000048e+02
1.523600709000000000e+09 1.420850000000000080e+02
1.523600770000000000e+09 1.418750000000000000e+02
1.523600830000000000e+09 1.414590000000000032e+02
1.523600890000000000e+09 1.412460000000000093e+02
1.523600950000000000e+09 1.410399999999999920e+02
1.523601010000000000e+09 1.406279999999999859e+02
1.523601070000000000e+09 1.404240000000000066e+02
1.523601131000000000e+09 1.400130000000000052e+02
1.523601191000000000e+09 1.398120000000000118e+02
1.523601251000000000e+09 1.393990000000000009e+02
1.523601311000000000e+09 1.391949999999999932e+02
1.523601371000000000e+09 1.387909999999999968e+02
1.523601432000000000e+09 1.385819999999999936e+02
1.523601492000000000e+09 1.383779999999999859e+02
1.523601552000000000e+09 1.379689999999999941e+02
1.523601612000000000e+09 1.377649999999999864e+02
1.523601672000000000e+09 1.373549999999999898e+02
1.523601733000000000e+09 1.371490000000000009e+02
1.523601793000000000e+09 1.367350000000000136e+02
1.523601853000000000e+09 1.365240000000000009e+02
1.523601913000000000e+09 1.363309999999999889e+02
1.523601973000000000e+09 1.359250000000000114e+02
1.523602034000000000e+09 1.357230000000000132e+02
1.523602094000000000e+09 1.353189999999999884e+02
1.523602154000000000e+09 1.351169999999999902e+02
1.523602214000000000e+09 1.347110000000000127e+02
1.523602274000000000e+09 1.345060000000000002e+02
1.523602334000000000e+09 1.343089999999999975e+02
1.523602394000000000e+09 1.339029999999999916e+02
1.523602455000000000e+09 1.336980000000000075e+02
1.523602515000000000e+09 1.332899999999999920e+02
1.523602575000000000e+09 1.330889999999999986e+02
1.523602635000000000e+09 1.326790000000000020e+02
1.523602695000000000e+09 1.324790000000000134e+02
1.523602755000000000e+09 1.322740000000000009e+02
1.523602815000000000e+09 1.318660000000000139e+02
1.523602876000000000e+09 1.316719999999999970e+02
1.523602936000000000e+09 1.312760000000000105e+02
1.523602996000000000e+09 1.310790000000000077e+02
1.523603056000000000e+09 1.306779999999999973e+02
1.523603116000000000e+09 1.304790000000000134e+02
1.523603176000000000e+09 1.302829999999999870e+02
1.523603236000000000e+09 1.298839999999999861e+02
1.523603296000000000e+09 1.296819999999999879e+02
1.523603357000000000e+09 1.292839999999999918e+02
1.523603417000000000e+09 1.290850000000000080e+02
1.523603477000000000e+09 1.286879999999999882e+02
1.523603537000000000e+09 1.284850000000000136e+02
1.523603597000000000e+09 1.282839999999999918e+02
1.523603658000000000e+09 1.278829999999999956e+02
1.523603718000000000e+09 1.276839999999999975e+02
1.523603778000000000e+09 1.272900000000000063e+02
1.523603838000000000e+09 1.270930000000000035e+02
1.523603898000000000e+09 1.267039999999999935e+02
1.523603958000000000e+09 1.265109999999999957e+02
1.523604019000000000e+09 1.261189999999999998e+02
1.523604079000000000e+09 1.259240000000000066e+02
1.523604139000000000e+09 1.257259999999999991e+02
1.523604199000000000e+09 1.253359999999999985e+02
1.523604259000000000e+09 1.251370000000000005e+02
1.523604319000000000e+09 1.247450000000000045e+02
1.523604380000000000e+09 1.245480000000000018e+02
1.523604440000000000e+09 1.241569999999999965e+02
1.523604500000000000e+09 1.239629999999999939e+02
1.523604560000000000e+09 1.237650000000000006e+02
1.523604620000000000e+09 1.233689999999999998e+02
1.523604680000000000e+09 1.231710000000000065e+02
1.523604740000000000e+09 1.227830000000000013e+02
1.523604801000000000e+09 1.225909999999999940e+02
1.523604861000000000e+09 1.222129999999999939e+02
1.523604921000000000e+09 1.220169999999999959e+02
1.523604981000000000e+09 1.218239999999999981e+02
1.523605041000000000e+09 1.214410000000000025e+02
1.523605102000000000e+09 1.212489999999999952e+02
1.523605162000000000e+09 1.208659999999999997e+02
1.523605222000000000e+09 1.206689999999999969e+02
1.523605282000000000e+09 1.202870000000000061e+02
1.523605342000000000e+09 1.200919999999999987e+02
1.523605402000000000e+09 1.198979999999999961e+02
1.523605462000000000e+09 1.195090000000000003e+02
1.523605522000000000e+09 1.193190000000000026e+02
1.523605582000000000e+09 1.189320000000000022e+02
1.523605643000000000e+09 1.187330000000000041e+02
1.523605703000000000e+09 1.183529999999999944e+02
1.523605763000000000e+09 1.181650000000000063e+02
1.523605823000000000e+09 1.179749999999999943e+02
1.523605883000000000e+09 1.175979999999999990e+02
1.523605944000000000e+09 1.174110000000000014e+02
1.523606004000000000e+09 1.170340000000000060e+02
1.523606064000000000e+09 1.168409999999999940e+02
1.523606124000000000e+09 1.164639999999999986e+02
1.523606184000000000e+09 1.162729999999999961e+02
1.523606244000000000e+09 1.160840000000000032e+02
1.523606305000000000e+09 1.157030000000000030e+02
1.523606365000000000e+09 1.154989999999999952e+02
1.523606425000000000e+09 1.151189999999999998e+02
1.523606485000000000e+09 1.149290000000000020e+02
1.523606545000000000e+09 1.145430000000000064e+02
1.523606605000000000e+09 1.143499999999999943e+02
1.523606665000000000e+09 1.141620000000000061e+02
1.523606726000000000e+09 1.137789999999999964e+02
1.523606786000000000e+09 1.135859999999999985e+02
1.523606846000000000e+09 1.132240000000000038e+02
1.523606906000000000e+09 1.130390000000000015e+02
1.523606966000000000e+09 1.126629999999999967e+02
1.523607027000000000e+09 1.124689999999999941e+02
1.523607087000000000e+09 1.122849999999999966e+02
1.523607147000000000e+09 1.119030000000000058e+02
1.523607207000000000e+09 1.117189999999999941e+02
1.523607267000000000e+09 1.113430000000000035e+02
1.523607327000000000e+09 1.111539999999999964e+02
1.523607387000000000e+09 1.107630000000000052e+02
1.523607447000000000e+09 1.105840000000000032e+02
1.523607508000000000e+09 1.104039999999999964e+02
1.523607568000000000e+09 1.100169999999999959e+02
1.523607628000000000e+09 1.098389999999999986e+02
1.523607688000000000e+09 1.094639999999999986e+02
1.523607748000000000e+09 1.092789999999999964e+02
1.523607808000000000e+09 1.089150000000000063e+02
1.523607869000000000e+09 1.087270000000000039e+02
1.523607929000000000e+09 1.085349999999999966e+02
1.523607989000000000e+09 1.081680000000000064e+02
1.523608049000000000e+09 1.079770000000000039e+02
1.523608109000000000e+09 1.076069999999999993e+02
1.523608169000000000e+09 1.074150000000000063e+02
1.523608229000000000e+09 1.070430000000000064e+02
1.523608290000000000e+09 1.068479999999999990e+02
1.523608350000000000e+09 1.066730000000000018e+02
1.523608410000000000e+09 1.062900000000000063e+02
1.523608470000000000e+09 1.061009999999999991e+02
1.523608530000000000e+09 1.057300000000000040e+02
1.523608590000000000e+09 1.055450000000000017e+02
1.523608650000000000e+09 1.051830000000000069e+02
1.523608711000000000e+09 1.050010000000000048e+02
1.523608771000000000e+09 1.048089999999999975e+02
1.523608831000000000e+09 1.044419999999999931e+02
1.523608891000000000e+09 1.042540000000000049e+02
1.523608951000000000e+09 1.038970000000000056e+02
1.523609011000000000e+09 1.037069999999999936e+02
1.523609071000000000e+09 1.033340000000000032e+02
1.523609131000000000e+09 1.031500000000000057e+02
1.523609192000000000e+09 1.029609999999999985e+02
1.523609252000000000e+09 1.025840000000000032e+02
1.523609312000000000e+09 1.023970000000000056e+02
1.523609372000000000e+09 1.020259999999999962e+02
1.523609432000000000e+09 1.018370000000000033e+02
1.523609492000000000e+09 1.014800000000000040e+02
1.523609552000000000e+09 1.012960000000000065e+02
1.523609613000000000e+09 1.009210000000000065e+02
1.523609673000000000e+09 1.007489999999999952e+02
1.523609733000000000e+09 1.005619999999999976e+02
1.523609793000000000e+09 1.001860000000000070e+02
1.523609853000000000e+09 1.000010000000000048e+02
1.523609913000000000e+09 9.963710000000000377e+01
1.523609973000000000e+09 9.943850000000000477e+01
1.523610033000000000e+09 9.907590000000000430e+01
1.523610094000000000e+09 9.889539999999999509e+01
1.523610154000000000e+09 9.870550000000000068e+01
1.523610214000000000e+09 9.834189999999999543e+01
1.523610274000000000e+09 9.815659999999999741e+01
1.523610334000000000e+09 9.779000000000000625e+01
1.523610395000000000e+09 9.760190000000000055e+01
1.523610455000000000e+09 9.723829999999999529e+01
1.523610515000000000e+09 9.706260000000000332e+01
1.523610575000000000e+09 9.686169999999999902e+01
1.523610635000000000e+09 9.648959999999999582e+01
1.523610695000000000e+09 9.631159999999999854e+01
1.523610755000000000e+09 9.595050000000000523e+01
1.523610815000000000e+09 9.575990000000000180e+01
1.523610876000000000e+09 9.539990000000000236e+01
1.523610936000000000e+09 9.521819999999999595e+01
1.523610996000000000e+09 9.503589999999999804e+01
1.523611056000000000e+09 9.466110000000000468e+01
1.523611116000000000e+09 9.447700000000000387e+01
1.523611177000000000e+09 9.409929999999999950e+01
1.523611237000000000e+09 9.392000000000000171e+01
1.523611297000000000e+09 9.355419999999999447e+01
1.523611357000000000e+09 9.337179999999999325e+01
1.523611417000000000e+09 9.319190000000000396e+01
1.523611477000000000e+09 9.282240000000000180e+01
1.523611538000000000e+09 9.264060000000000628e+01
1.523611598000000000e+09 9.228100000000000591e+01
1.523611658000000000e+09 9.208910000000000196e+01
1.523611718000000000e+09 9.172119999999999607e+01
1.523611778000000000e+09 9.154009999999999536e+01
1.523611838000000000e+09 9.116500000000000625e+01
1.523611898000000000e+09 9.098990000000000578e+01
1.523611959000000000e+09 9.080970000000000653e+01
1.523612019000000000e+09 9.044920000000000471e+01
1.523612079000000000e+09 9.025759999999999650e+01
1.523612139000000000e+09 8.989260000000000161e+01
1.523612199000000000e+09 8.970749999999999602e+01
1.523612259000000000e+09 8.934120000000000061e+01
1.523612320000000000e+09 8.914759999999999707e+01
1.523612380000000000e+09 8.896330000000000382e+01
1.523612440000000000e+09 8.860569999999999879e+01
1.523612500000000000e+09 8.842199999999999704e+01
1.523612560000000000e+09 8.805740000000000123e+01
1.523612620000000000e+09 8.787640000000000384e+01
1.523612681000000000e+09 8.750639999999999930e+01
